name,example_value
RUNT_PARAM_CTRL_SHOW,0
INST_PARAM_CTRL_POS1_NAME,Position system name
INST_PARAM_CTRL_POS2_NAME,Position system name
INST_PARAM_CTRL_POS3_NAME,Position system name
INST_PARAM_CTRL_ATT1_NAME,Attitude system name
INST_PARAM_CTRL_ATT2_NAME,Attitude system name
INST_PARAM_CTRL_DEP_NAME,Depth system name
INST_PARAM_CTRL_SVP_NAME,Sound velocity name
INST_PARAM_CTRL_CLOCK_NAME,Clock name
RUNT_PARAM_CTRL_SVP_FACTORY,
RUNT_PARAM_CTRL_SVP_FILE_UPLOAD,
RUNT_PARAM_CTRL_SVP_SALIN_SRC,Salinity
RUNT_PARAM_CTRL_SVP_SALIN_VAL,35
INST_PARAM_OUTPUT_IP,10.66.69.38
INST_PARAM_INPUT_SEATEX_ON,0
INST_PARAM_INPUT_SEATEX_POSX,0
INST_PARAM_INPUT_SEATEX_POSY,0
INST_PARAM_INPUT_SEATEX_POSZ,0
INST_PARAM_INPUT_SEATEX_ATTX,0
INST_PARAM_INPUT_SEATEX_ATTY,0
INST_PARAM_INPUT_SEATEX_ATTZ,0
INST_PARAM_INPUT_SEATEX_ATTR,0
INST_PARAM_INPUT_SEATEX_ATTP,0
INST_PARAM_INPUT_SEATEX_ATTH,0
RUNT_PARAM_PU_SV_TEMP,10
RUNT_PARAM_PU_ANGULAR_COVERAGE_MODE,Auto
RUNT_PARAM_PU_BEAM_SPACING,High density
UNKNOWN_TOKEN,0
RUNT_PARAM_PU_RX_UNIT,Both RX in use
RUNT_PARAM_PU_DUAL_SWATH,Off
RUNT_PARAM_PU_FM_PULSE,0
RUNT_PARAM_PU_PITCH_STAB,1
RUNT_PARAM_PU_TX_ANGLE,0
RUNT_PARAM_PU_SEL_STAB_MODE,Off
RUNT_PARAM_PU_YAW_MANUAL,0
RUNT_PARAM_PU_HEAD_FILTER,Medium
RUNT_PARAM_PU_MIN_SWATH_DIST,0
RUNT_PARAM_PU_EXT_TRIG,0
RUNT_PARAM_PU_SV_TX_MANUAL,1500
RUNT_PARAM_PU_SV_SOURCE,Profile
RUNT_PARAM_PU_SV_OFFSET,0
RUNT_PARAM_PU_SV_FILTER,60
RUNT_PARAM_PU_SPIKE_FILTER_STRENGTH,Medium
RUNT_PARAM_PU_RANGE_GATE,Normal
RUNT_PARAM_PU_PHASE_RAMP,Normal
RUNT_PARAM_PU_PENETRATION_FILTER_STRENGTH,Off
RUNT_PARAM_PU_SLOPE,1
RUNT_PARAM_PU_AERATION,0
RUNT_PARAM_PU_SECTOR_TRACKING,0
RUNT_PARAM_PU_INTERFERENCE,0
RUNT_PARAM_PU_NORM_INCIDENCE,10
RUNT_PARAM_PU_USE_LAMBERTS,1
RUNT_PARAM_PU_TXP,Normal
RUNT_PARAM_PU_SPECIAL_MODE_SONAR,Off
RUNT_PARAM_PU_WC_XRLOGR,30
